type,benchmarks,MP,SI,VP,AP,AS,PA,CE,CO,EC,NV,CL,QL,MS,MC,TaskHierarchies,keyword,2008.docs,2009.docs,2010.docs,2011.docs,2012.docs,2013.docs,2014.docs,2015.docs,2016.docs,2017.docs,2018.docs,2019.docs,2020.docs,2021.docs,2022.docs,2023.docs,2024.docs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dataset,AFAD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Age Estimation 
",AFAD,0,0,0,0,0,0,0,0,0,0,0,4,1,8,1,9,23,0,0,0,0,0,0,0,0,0,0,0,0.019200307,0.003930354,0.032374246,0.002793218,0.010947706,0.017276606
Dataset,AFLW,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Facial Landmark Detection 
",AFLW,0,0,0,0,0,0,0,0,2,6,5,4,8,6,7,3,19,0,0,0,0,0,0,0,0,0.056417489,0.08668015,0.029246607,0.019200307,0.031442833,0.024280685,0.019552526,0.003649235,0.014271979
Dataset,AG News,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Text Classification >  
",AG News,0,0,0,0,0,0,0,1,0,7,18,22,38,44,112,283,375,0,0,0,0,0,0,0,0.043802015,0,0.101126842,0.105287787,0.10560169,0.149353457,0.178058355,0.312840423,0.344244547,0.281683793
Dataset,AI2 Kaggle Dataset,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",AI2 Kaggle Dataset,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0,0,0
Dataset,Amazon Review,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Natural Language Processing > Sentiment Analysis >  
",Amazon Review,0,0,1,0,1,1,0,5,5,13,33,32,34,45,48,152,220,0,0,0.302114804,0,0.122850123,0.166944908,0,0.219010074,0.141043724,0.187806992,0.193027609,0.153602458,0.13363204,0.182105135,0.134074467,0.184894598,0.165254492
Dataset,Annotated Faces in the Wild,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Detection >  
Computer Vision > Facial Recognition and Modelling > Face Detection 
",Annotated Faces in the Wild,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.028208745,0.014446692,0,0.009600154,0,0.008093562,0,0,0
Dataset,Arcade Learning Environment,1,1,1,0,1,1,0,0,0,1,0,0,0,0,"Playing Games > Atari Games >  
Playing Games > Video Games > Atari Games 
",Arcade Learning Environment,0,0,0,0,0,0,2,6,8,16,70,82,85,91,63,162,247,0,0,0,0,0,0,0.168491997,0.262812089,0.225669958,0.231147067,0.409452504,0.393606298,0.334080101,0.368257052,0.175972738,0.197058716,0.185535725
Dataset,bAbi,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",bAbi,0,0,0,0,0,0,0,0,0,3,4,2,7,5,5,20,19,0,0,0,0,0,0,0,0,0,0.043340075,0.023397286,0.009600154,0.027512479,0.020233904,0.01396609,0.024328237,0.014271979
Dataset,Bing News,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Click-Through Rate Prediction >  
",Bing News,0,0,0,0,0,0,0,2,1,0,3,2,3,2,3,4,5,0,0,0,0,0,0,0,0.08760403,0.028208745,0,0.017547964,0.009600154,0.011791062,0.008093562,0.008379654,0.004865647,0.003755784
Dataset,BIWI,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation > Head Pose Estimation 
",BIWI,0,0,0,0,1,0,0,0,0,0,1,4,4,7,7,14,20,0,0,0,0,0.122850123,0,0,0,0,0,0.005849321,0.019200307,0.015721416,0.028327466,0.019552526,0.017029766,0.015023136
Dataset,BlogCatalog,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Graphs > Node Classification >  
",BlogCatalog,0,0,0,0,0,0,0,0,2,9,28,26,27,18,21,40,61,0,0,0,0,0,0,0,0,0.056417489,0.130020225,0.163781001,0.124801997,0.106119561,0.072842054,0.058657579,0.048656473,0.045820564
Dataset,Bosch Small Traffic Lights,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Autonomous Vehicles > Traffic Sign Recognition 
",Bosch Small Traffic Lights,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0.005849321,0,0,0.012140342,0,0.001216412,0.001502314
Dataset,BP4D,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Facial Action Unit Detection 
",BP4D,0,0,0,0,0,0,0,0,2,0,5,5,1,5,8,9,19,0,0,0,0,0,0,0,0,0.056417489,0,0.029246607,0.024000384,0.003930354,0.020233904,0.022345745,0.010947706,0.014271979
Dataset,BPI challenge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Time Series > Time Series Forecasting > Multivariate Time Series Forecasting 
",BPI challenge,0,0,0,0,0,0,0,0,0,3,4,4,12,22,6,20,13,0,0,0,0,0,0,0,0,0,0.043340075,0.023397286,0.019200307,0.047164249,0.089029177,0.016759308,0.024328237,0.009765038
Dataset,BRATS,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Brain Tumor Segmentation 
",BRATS,0,0,0,0,0,0,0,0,2,3,21,30,29,36,82,166,248,0,0,0,0,0,0,0,0,0.056417489,0.043340075,0.122835751,0.144002304,0.11398027,0.145684108,0.229043881,0.201924364,0.186286882
Dataset,BSD*,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Denoising > Image Denoising 
Computer Vision > Image Denoising >  
",BSD*,0,2,3,3,0,2,1,5,17,26,46,52,62,106,157,337,687,0,0.529100529,0.906344411,0.527240773,0,0.333889816,0.084245998,0.219010074,0.47954866,0.375613984,0.269068788,0.249603994,0.243681956,0.428958763,0.438535236,0.409930786,0.516044709
Dataset,BUCC,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Cross-Lingual Bitext Mining >  
",BUCC,0,0,0,0,0,0,0,0,1,1,1,4,2,5,13,26,38,0,0,0,0,0,0,0,0,0.028208745,0.014446692,0.005849321,0.019200307,0.007860708,0.020233904,0.036311835,0.031626708,0.028543958
Dataset,BUS 2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Lesion Segmentation 
",BUS 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008093562,0.005586436,0,0
Dataset,CACD,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Recognition > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Age Estimation 
Computer Vision > Facial Recognition and Modelling > Face Recognition > Age-Invariant Face Recognition 
",CACD,0,0,0,0,0,0,0,0,1,0,2,1,2,15,2,13,22,0,0,0,0,0,0,0,0,0.028208745,0,0.011698643,0.004800077,0.007860708,0.060701712,0.005586436,0.015813354,0.016525449
Dataset,CACDVS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Recognition > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Face Recognition > Age-Invariant Face Recognition 
",CACDVS,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0.028208745,0,0,0,0,0.012140342,0,0,0.000751157
Dataset,CAFR,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Face Recognition > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Age-Invariant Face Recognition 
Computer Vision > Facial Recognition and Modelling > Face Recognition > Age-Invariant Face Recognition 
",CAFR,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0.043802015,0,0,0,0,0,0.008093562,0.002793218,0,0.00225347
Dataset,Caltech,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Fine-Grained Image Classification 
Computer Vision > Autonomous Vehicles > Lane Detection 
Computer Vision > Autonomous Vehicles > Pedestrian Detection 
",Caltech,10,66,17,19,36,10,49,56,77,118,212,265,331,297,418,969,1748,6.493506494,17.46031746,5.135951662,3.339191564,4.422604423,1.669449082,4.128053917,2.452912834,2.172073343,1.704709621,1.240056153,1.272020352,1.300947215,1.201893893,1.167565152,1.178703062,1.313022054
Dataset,CamVid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Semantic Segmentation > Real-Time Semantic Segmentation 
Computer Vision > Semantic Segmentation >  
",CamVid,0,0,0,0,0,0,1,0,2,10,11,15,15,20,15,29,36,0,0,0,0,0,0,0.084245998,0,0.056417489,0.144466917,0.064342536,0.072001152,0.058955312,0.080935616,0.041898271,0.035275943,0.027041644
Dataset,Cats and Dogs,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Generation > Image-to-Image Translation > Multimodal Unsupervised Image-To-Image Translation 
Computer Vision > Image-to-Image Translation > Multimodal Unsupervised Image-To-Image Translation 
",Cats and Dogs,0,0,0,0,1,0,3,4,17,46,74,101,131,131,172,376,617,0,0,0,0,0.122850123,0,0.252737995,0.17520806,0.47954866,0.664547819,0.432849789,0.484807757,0.51487639,0.530128283,0.480433507,0.457370847,0.463463734
Dataset,CCGBank,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Natural Language Processing > CCG Supertagging >  
",CCGBank,0,0,0,0,0,0,0,0,0,1,3,2,2,3,2,5,3,0,0,0,0,0,0,0,0,0,0.014446692,0.017547964,0.009600154,0.007860708,0.012140342,0.005586436,0.006082059,0.00225347
Dataset,CelebA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,"Methodology > Transfer Learning > Multi-Task Learning 
Computer Vision > Image Generation >  
",CelebA,0,0,0,0,0,0,0,0,14,111,282,263,306,264,302,786,1440,0,0,0,0,0,0,0,0,0.394922426,1.60358278,1.649508657,1.262420199,1.202688362,1.068350127,0.843551856,0.956099697,1.081665765
Dataset,ChaLearn,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Recognition and Modelling > Age Estimation 
",ChaLearn,0,0,0,0,0,1,2,4,7,7,23,16,14,12,18,18,27,0,0,0,0,0,0.166944908,0.168491997,0.17520806,0.197461213,0.101126842,0.134534394,0.076801229,0.055024958,0.048561369,0.050277925,0.021895413,0.020281233
Dataset,CHALL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation > 3D Human Pose Estimation 
",CHALL,0,0,1,0,0,0,0,0,0,2,5,21,10,10,17,43,74,0,0,0.302114804,0,0,0,0,0,0,0.028893383,0.029246607,0.100801613,0.039303541,0.040467808,0.047484707,0.052305709,0.055585602
Dataset,Children's Book Test,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",Children's Book Test,0,0,0,0,0,0,0,0,3,3,7,9,3,6,9,11,10,0,0,0,0,0,0,0,0,0.084626234,0.043340075,0.04094525,0.043200691,0.011791062,0.024280685,0.025138963,0.01338053,0.007511568
Dataset,CHiME,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Speech > Speech Recognition > Distant Speech Recognition 
",CHiME,0,0,0,0,0,0,0,1,1,3,18,22,13,9,38,59,63,0,0,0,0,0,0,0,0.043802015,0.028208745,0.043340075,0.105287787,0.10560169,0.051094604,0.036421027,0.106142287,0.071768298,0.047322877
Dataset,Chinese Poems,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Natural Language Processing > Text Generation >  
",Chinese Poems,0,0,0,0,0,0,0,0,0,5,5,3,5,10,5,16,17,0,0,0,0,0,0,0,0,0,0.072233459,0.029246607,0.01440023,0.019651771,0.040467808,0.01396609,0.019462589,0.012769665
Dataset,CIFAR,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification >  
Computer Vision > Image Generation > Conditional Image Generation 
Computer Vision > Image Generation >  
",CIFAR,0,3,6,13,23,17,47,86,193,503,1440,1775,2334,1711,2325,5346,9473,0,0.793650794,1.812688822,2.284710018,2.825552826,2.838063439,3.959561921,3.766973281,5.444287729,7.266685929,8.423022929,8.520136322,9.173446528,6.924041925,6.494232005,6.502937635,7.115708191
Dataset,CIHP,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Human Part Segmentation >  
",CIHP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008093562,0.002793218,0.001216412,0.001502314
Dataset,Citeseer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Graphs > Node Classification >  
Graphs > Link Prediction >  
",Citeseer,3,9,12,22,32,24,36,77,133,215,528,1030,1068,961,1165,2210,3033,1.948051948,2.380952381,3.625377644,3.866432337,3.931203931,4.006677796,3.032855939,3.372755147,3.751763047,3.106038717,3.088441741,4.944079105,4.197618205,3.888956335,3.254099048,2.688270141,2.278258518
Dataset,Cityscapes,1,0,1,0,1,0,0,0,0,0,0,1,0,0,"Methodology > Transfer Learning > Multi-Task Learning 
Computer Vision > Semantic Segmentation > Real-Time Semantic Segmentation 
Computer Vision > Semantic Segmentation >  
Computer Vision > Edge Detection >  
Computer Vision > Image Generation > Image-to-Image Translation > Synthetic-to-Real Translation 
Computer Vision > Image Generation > Image-to-Image Translation 
Computer Vision > Image-to-Image Translation > Synthetic-to-Real Translation 
Computer Vision > Image-to-Image Translation >  
",Cityscapes,0,0,0,0,0,0,0,0,1,32,90,94,95,161,214,455,729,0,0,0,0,0,0,0,0,0.028208745,0.462294135,0.526438933,0.451207219,0.373383642,0.651531707,0.597748666,0.553467382,0.547593294
Dataset,Click-Through Rate Prediction,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Click-Through Rate Prediction >  
",Click-Through Rate Prediction,0,0,0,0,0,2,6,2,6,12,26,37,70,69,91,211,260,0,0,0,0,0,0.333889816,0.50547599,0.08760403,0.169252468,0.1733603,0.152082358,0.177602842,0.275124789,0.279227874,0.254182844,0.256662896,0.195300763
Dataset,CliCR,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",CliCR,0,0,0,0,0,0,0,0,0,0,1,1,5,6,3,5,11,0,0,0,0,0,0,0,0,0,0,0.005849321,0.004800077,0.019651771,0.024280685,0.008379654,0.006082059,0.008262725
Dataset,CMU-SE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Natural Language Processing > Text Generation >  
",CMU-SE,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.014446692,0.005849321,0.004800077,0,0.004046781,0.002793218,0,0
Dataset,CNN / Daily Mail,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Text Summarization > Document Summarization 
Natural Language Processing > Question Answering >  
",CNN / Daily Mail,0,0,0,0,0,0,0,2,2,66,40,36,43,50,95,268,342,0,0,0,0,0,0,0,0.08760403,0.056417489,0.953481653,0.233972859,0.172802765,0.169005227,0.202339039,0.265355716,0.32599837,0.256895619
Dataset,COCO,1,0,1,0,1,0,1,1,0,0,0,0,0,0,"Natural Language Processing > Text Generation >  
Computer Vision > Pose Estimation > Keypoint Detection 
Computer Vision > Pose Estimation > Multi-Person Pose Estimation 
Computer Vision > Pose Estimation >  
Computer Vision > Object Detection > Weakly Supervised Object Detection 
Computer Vision > Object Detection > Real-Time Object Detection 
Computer Vision > Object Detection >  
Computer Vision > Visual Question Answering >  
Computer Vision > Image Generation > Text-to-Image Generation 
Computer Vision > Image Generation >  
",COCO,0,0,0,0,0,0,2,21,37,126,344,357,450,716,1031,2481,4185,0,0,0,0,0,0,0.168491997,0.919842313,1.043723554,1.820283155,2.012166589,1.713627418,1.768659356,2.897495043,2.879807827,3.017917746,3.14359113
Dataset,Cohn-Kanade,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Expression Recognition >  
Computer Vision > Facial Recognition and Modelling > Facial Expression Recognition 
",Cohn-Kanade,0,0,0,0,0,1,1,2,3,4,19,8,15,14,9,18,33,0,0,0,0,0,0.166944908,0.084245998,0.08760403,0.084626234,0.057786767,0.111137108,0.038400614,0.058955312,0.056654931,0.025138963,0.021895413,0.024788174
Dataset,CompCars,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Image Classification > Fine-Grained Image Classification 
",CompCars,0,0,0,0,0,0,0,1,0,0,1,2,3,4,4,11,11,0,0,0,0,0,0,0,0.043802015,0,0,0.005849321,0.009600154,0.011791062,0.016187123,0.011172872,0.01338053,0.008262725
Dataset,COMPLEXQUESTIONS,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",COMPLEXQUESTIONS,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0.009600154,0,0.024280685,0.011172872,0.002432824,0.00225347
Dataset,CoNLL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Natural Language Processing,CoNLL,3,15,16,17,12,10,28,147,67,98,273,227,280,317,498,1055,1198,1.948051948,3.968253968,4.833836858,2.987697715,1.474201474,1.669449082,2.358887953,6.438896189,1.889985896,1.415775787,1.596864764,1.089617434,1.100499155,1.282829509,1.391022597,1.283314479,0.899885824
Dataset,CoQA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Question Answering >  
",CoQA,0,0,0,0,0,0,0,0,0,0,4,22,27,37,59,116,171,0,0,0,0,0,0,0,0,0,0,0.023397286,0.10560169,0.106119561,0.149730889,0.164799866,0.141103772,0.12844781
Dataset,Cora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Graphs > Node Classification >  
Graphs > Link Prediction >  
",Cora,3,3,5,4,16,11,14,24,32,54,128,237,335,223,317,820,1368,1.948051948,0.793650794,1.510574018,0.702987698,1.965601966,1.83639399,1.179443976,1.051248357,0.902679831,0.780121352,0.748713149,1.137618202,1.316668632,0.902432115,0.885450127,0.997457699,1.027582477
Dataset,SentEval CR,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"Natural Language Processing > Sentiment Analysis >  
Natural Language Processing > Relation Extraction >  
Natural Language Processing > Question Answering >  
",SentEval CR,0,0,0,0,0,0,0,0,0,0,9,4,1,8,16,22,22,0,0,0,0,0,0,0,0,0,0,0.052643893,0.019200307,0.003930354,0.032374246,0.044691489,0.02676106,0.016525449
Dataset,Criteo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Click-Through Rate Prediction >  
",Criteo,0,0,0,0,0,2,0,3,6,17,46,60,71,47,55,143,178,0,0,0,0,0,0.333889816,0,0.131406045,0.169252468,0.245593759,0.269068788,0.288004608,0.279055143,0.190198697,0.153626994,0.173946891,0.133705907
Dataset,CT-150,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Pancreas Segmentation 
",CT-150,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008093562,0,0.001216412,0
Dataset,CUB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Methodology > Meta-Learning > Few-Shot Image Classification 
Computer Vision > Image Classification > Fine-Grained Image Classification 
Computer Vision > Image Classification > Few-Shot Image Classification 
Computer Vision > Object Localization > Weakly-Supervised Object Localization 
Computer Vision > Image Generation > Text-to-Image Generation 
Computer Vision > Image Generation >  
",CUB,0,0,1,6,2,0,3,12,24,25,113,119,146,162,235,523,1032,0,0,0.302114804,1.054481547,0.245700246,0,0.252737995,0.525624179,0.677009873,0.361167293,0.660973327,0.571209139,0.573831702,0.655578487,0.656406246,0.636183386,0.775193798
Dataset,CUFS,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Sketch > Face Sketch Synthesis 
Computer Vision > Facial Recognition and Modelling > Face Sketch Synthesis 
",CUFS,0,0,0,0,0,0,0,0,2,0,4,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0.056417489,0,0.023397286,0.009600154,0,0.004046781,0.008379654,0,0.001502314
Dataset,CUFSF,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Sketch > Face Sketch Synthesis 
Computer Vision > Facial Recognition and Modelling > Face Sketch Synthesis 
",CUFSF,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0.017547964,0.009600154,0.003930354,0.004046781,0.002793218,0,0.001502314
Dataset,CUHK,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Sketch > Face Sketch Synthesis 
Computer Vision > Facial Recognition and Modelling > Face Sketch Synthesis 
",CUHK,0,5,4,3,6,2,7,19,23,27,94,67,112,103,199,539,948,0,1.322751323,1.208459215,0.527240773,0.737100737,0.333889816,0.589721988,0.832238283,0.648801128,0.390060676,0.549836219,0.321605146,0.440199662,0.416818421,0.555850395,0.655645976,0.712096629
Dataset,DailyDialog,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Natural Language Processing > Text Generation >  
",DailyDialog,0,0,0,0,0,0,0,0,0,0,4,17,22,30,50,152,125,0,0,0,0,0,0,0,0,0,0,0.023397286,0.081601306,0.086467791,0.121403424,0.139660903,0.184894598,0.093894598
Dataset,DBpedia,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Natural Language Processing > Text Classification >  
",DBpedia,0,1,6,5,12,2,12,31,19,41,119,155,198,192,265,547,606,0,0.264550265,1.812688822,0.878734622,1.474201474,0.333889816,1.01095198,1.357862462,0.53596615,0.59231436,0.696069256,0.744011904,0.778210117,0.776981911,0.740202788,0.66537727,0.45520101
Dataset,DensePose-COCO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Pose Estimation >  
",DensePose-COCO,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0.011698643,0.004800077,0.003930354,0.008093562,0,0.001216412,0.004506941
Dataset,Dianping,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Miscellaneous > Click-Through Rate Prediction >  
",Dianping,0,0,0,0,0,0,0,1,1,2,0,9,7,8,8,7,14,0,0,0,0,0,0,0,0.043802015,0.028208745,0.028893383,0,0.043200691,0.027512479,0.032374246,0.022345745,0.008514883,0.010516195
Dataset,DIC HeLa,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Medical > Medical Image Segmentation > Cell Segmentation 
",DIC HeLa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046781,0.005586436,0,0.000751157
Dataset,DISFA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Computer Vision > Facial Expression Recognition > Smile Recognition 
Computer Vision > Facial Recognition and Modelling > Smile Recognition 
Computer Vision > Facial Recognition and Modelling > Facial Expression Recognition > Smile Recognition 
",DISFA,0,0,0,0,0,0,0,0,1,0,5,4,2,5,10,8,17,0,0,0,0,0,0,0,0,0.028208745,0,0.029246607,0.019200307,0.007860708,0.020233904,0.027932181,0.009731295,0.012769665
